order_purchase_timestamp,price
2016-09-30,267.36
2016-10-31,49441.77
2016-11-30,0.0
2016-12-31,10.9
2017-01-31,118610.23
2017-02-28,238268.92
2017-03-31,367630.13
2017-04-30,350974.16
2017-05-31,494979.21
2017-06-30,427380.82
2017-07-31,494906.82
2017-08-31,568728.28
2017-09-30,618497.55
2017-10-31,645418.95
2017-11-30,996155.39
2017-12-31,727689.25
2018-01-31,927540.91
2018-02-28,831289.97
2018-03-31,965835.33
2018-04-30,988407.09
2018-05-31,991422.74
2018-06-30,862737.18
2018-07-31,890046.19
2018-08-31,850209.79
2018-09-30,145.0
