ds,yhat,yhat_lower,yhat_upper
2016-10-31,70794.56803254661,-111796.62567460537,240248.49220631746
2016-11-30,124681.49122346545,-38518.92091241223,287738.1363475599
2016-12-31,180364.6451480763,13819.616329377903,347385.4941482658
2017-01-31,236047.79906437872,69173.72818775036,416441.12117133604
2017-02-28,286342.26068758004,119718.45394835055,458623.6753865065
2017-03-31,342025.4146171225,158315.73315401893,515589.6628285309
2017-04-30,395912.33777851565,219364.3605478614,567860.1657109135
2017-05-31,451595.49174074916,275001.3336993123,630071.8419574898
2017-06-30,505482.41492046026,325925.9953383762,688288.4317954469
2017-07-31,561165.5688544974,386701.7633606846,723953.3403233316
2017-08-31,616848.7227395617,443675.5491899999,791723.4481581729
2017-09-30,670735.6452496334,517789.9644230906,846664.0293321883
2017-10-31,726418.7930179001,549732.750655791,903449.3549593079
2017-11-30,780305.7102126221,607681.9717135048,956931.2947208739
2017-12-31,835988.8579986525,659075.0432787531,998797.580181408
2018-01-31,891671.9878967822,723233.9809277268,1064155.7692911113
2018-02-28,941966.4277655608,766272.0197967207,1118005.4004147365
2018-03-31,997649.5576363963,819915.88689531,1159341.020209713
2018-04-30,1051536.45752337,883790.829117784,1223871.8618173508
2018-05-31,1107219.587406576,933662.3571719279,1299682.7800910037
2018-06-30,1161106.4872935493,984742.9070570626,1340077.9132167404
2018-07-31,1216789.6171767553,1045262.181941304,1378827.8737217968
2018-08-31,1272472.7470599615,1104409.6089271249,1436717.2840447437
2018-09-30,1326359.646946935,1147887.9280002012,1498694.1324584275
2018-10-31,1382042.7768301412,1215995.734239426,1543414.9849831646
2018-11-30,1435929.6767171149,1273711.7391358132,1603194.6292358665
2018-12-31,1491612.8066003209,1324417.6765265751,1672859.5908896702
2019-01-31,1547295.9364835266,1366460.4865280977,1725081.329954465
2019-02-28,1597590.3763780354,1411511.257431763,1776415.828709752
